Estado,Total,Pareja,Familiar,Escolar,Trabajo,Comunitario
Estados Unidos Mexicanos,42.8,20.7,11.4,20.2,20.8,22.4
Aguascalientes,48,24.8,12.9,21.1,26.1,25.9
Baja California,37.2,13.3,8.6,13,21.6,18.6
Baja California Sur,38.4,17.9,8.4,17.5,18.9,20.2
Campeche,39.7,20,10.7,17.3,16.9,19.8
Coahuila,45.9,22.3,11.6,23.4,22.1,25.3
Colima,48.2,23,11.6,20.7,21,26.5
Chiapas,26.9,12.6,6.5,21.8,12.6,13.6
Chihuahua,43.9,19.1,11.6,21.1,27.5,21.2
Ciudad de México,46.1,18.9,15,25.4,24.4,27.6
Durango,43.1,22.4,10.7,23.6,22.7,22.2
Guanajuato,44.4,22.3,10.9,19.7,22.5,22.8
Guerrero,44.1,25.9,15,20,14.8,19
Hidalgo,43,23.9,11.7,19.3,19.3,19.9
Jalisco,45.8,22,11.6,21.2,23,25.9
México,47.6,21.7,10.9,18.4,22.4,27.1
Michoacán,42.7,24.3,12.2,23.9,18.8,19.6
Morelos,42.6,19.4,11.5,19.3,18,23.3
Nayarit,41.3,23.3,10.9,20.7,16,19.4
Nuevo León,42.3,17.7,9.6,19.1,22.1,24.1
Oaxaca,39.1,21.2,12,15.5,16.1,16.6
Puebla,41,21.4,10.6,15.8,20.4,19.9
Querétaro,49.8,25.1,14.6,29.4,24.6,27.9
Quintana Roo,44.2,18.8,9.9,20.5,22.9,25.4
San Luis Potosí,41.7,21.6,9.5,13.2,20.8,20.6
Sinaloa,38.9,19,10.9,14.4,18.8,16.8
Sonora,44.5,22.3,12.3,18.1,23,20.8
Tabasco,39.6,21,11.3,21.1,17.4,20.2
Tamaulipas,34.2,16.7,7.9,18.6,14.6,17.8
Tlaxcala,42.7,20.7,11.9,23,22.5,21.6
Veracruz,41.6,21.4,13.8,24.1,18.1,20.4
Yucatán,44.9,23.1,11.4,24.8,18.9,24.2
Zacatecas,37.9,20.6,8.8,24,19.4,18.2
